                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 0.7569,                0.52357,                 1.1392,                 0.9661,                0.96046,                0.99202,                0.86205,                 0.5722,                0.46209,                  1.052,             0.00044563,             0.00044563,             0.00044563
                     68,                0.77679,                0.56731,                 1.1532,                0.94241,                0.99301,                0.99381,                0.86816,                0.48631,                0.38535,                0.97607,             0.00043325,             0.00043325,             0.00043325
                     69,                0.76907,                0.51943,                 1.1561,                0.93901,                0.90677,                0.98231,                0.85454,                0.54573,                0.45612,                 1.0094,             0.00042087,             0.00042087,             0.00042087
                     70,                 0.7831,                0.51925,                 1.2156,                0.84477,                0.96239,                0.97881,                 0.8593,                0.51579,                 0.5286,                0.99608,              0.0004085,              0.0004085,              0.0004085
                     71,                0.81462,                 0.5744,                 1.1981,                0.85666,                0.92959,                 0.9577,                0.86963,                0.49872,                0.50418,                0.99158,             0.00039613,             0.00039613,             0.00039613
                     72,                0.77575,                0.73616,                 1.1886,                0.87541,                 0.9343,                0.94892,                0.85716,                0.50212,                0.47465,                0.98905,             0.00038375,             0.00038375,             0.00038375
                     73,                0.74416,                0.60084,                  1.162,                0.87436,                  0.944,                0.96543,                0.84083,                0.58216,                0.46037,                 1.0343,             0.00037138,             0.00037138,             0.00037138
                     74,                0.70944,                0.56738,                 1.1353,                0.95008,                 0.9421,                0.98728,                0.87935,                0.52523,                0.38007,                 1.0097,               0.000359,               0.000359,               0.000359
                     75,                0.77071,                0.51061,                  1.152,                0.92086,                0.96765,                0.98868,                0.86921,                0.51778,                0.39638,                 1.0043,             0.00034663,             0.00034663,             0.00034663
                     76,                0.85836,                0.59974,                 1.2799,                0.90613,                0.94535,                0.96892,                0.83164,                0.55527,                0.48447,                 1.0149,             0.00033425,             0.00033425,             0.00033425
                     77,                0.72521,                 0.4837,                 1.1004,                0.89128,                0.95309,                0.96799,                0.85347,                0.50218,                0.49082,                0.98016,             0.00032188,             0.00032188,             0.00032188
                     78,                0.73896,                0.52869,                 1.1658,                0.91057,                0.95228,                 0.9813,                0.88956,                0.45715,                0.46591,                 0.9606,              0.0003095,              0.0003095,              0.0003095
                     79,                0.73524,                0.66678,                 1.1925,                0.95244,                 0.9652,                0.98975,                0.90015,                0.46223,                0.40154,                0.96962,             0.00029713,             0.00029713,             0.00029713
                     80,                0.73335,                0.54102,                 1.1058,                 0.9256,                0.98292,                 0.9944,                0.89977,                0.47307,                0.36977,                0.97262,             0.00028475,             0.00028475,             0.00028475
                     81,                0.71477,                0.48558,                 1.1236,                0.94322,                0.96688,                0.98511,                0.90168,                0.47735,                 0.3687,                0.97517,             0.00027237,             0.00027237,             0.00027237
                     82,                0.68126,                0.46791,                 1.0992,                  0.947,                0.97478,                0.98128,                0.88589,                0.48484,                0.36611,                0.98525,                0.00026,                0.00026,                0.00026
                     83,                0.81678,                0.54206,                 1.2427,                0.92101,                0.98097,                  0.995,                0.89284,                0.48091,                0.39412,                0.98161,             0.00024762,             0.00024762,             0.00024762
                     84,                0.67065,                0.47808,                 1.0987,                0.87576,                0.90152,                0.96271,                0.84698,                0.47453,                0.55189,                0.97443,             0.00023525,             0.00023525,             0.00023525
                     85,                0.70656,                0.60079,                 1.1269,                0.90577,                0.86253,                0.95934,                0.85909,                0.47453,                0.54712,                0.96728,             0.00022288,             0.00022288,             0.00022288
                     86,                 0.6919,                0.48756,                 1.1231,                0.87524,                0.95348,                0.96332,                0.87208,                0.48668,                0.48657,                0.97231,              0.0002105,              0.0002105,              0.0002105
                     87,                 0.7158,                0.46143,                 1.1031,                0.87282,                0.98725,                0.98035,                0.88799,                0.49399,                0.40742,                0.97671,             0.00019813,             0.00019813,             0.00019813
                     88,                0.69588,                0.46799,                 1.0998,                0.96074,                0.97832,                 0.9895,                0.89414,                0.47847,                0.34012,                0.96505,             0.00018575,             0.00018575,             0.00018575
                     89,                0.67977,                0.46256,                 1.1322,                0.95975,                0.97267,                0.99225,                 0.8942,                0.47877,                0.32646,                0.96669,             0.00017338,             0.00017338,             0.00017338
