                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.66719,                0.43671,                 1.0926,                 0.9627,                0.99137,                0.99321,                0.89651,                0.50193,                0.35769,                0.96577,              0.0004085,              0.0004085,              0.0004085
                     71,                0.67599,                0.50239,                 1.1178,                0.96647,                  0.975,                0.99381,                0.92319,                0.46661,                0.33006,                0.95745,             0.00039613,             0.00039613,             0.00039613
                     72,                0.68152,                0.56792,                 1.0877,                0.97456,                 0.9875,                0.99386,                0.89803,                0.51141,                0.34069,                0.98517,             0.00038375,             0.00038375,             0.00038375
                     73,                0.63873,                0.52121,                 1.0652,                0.96562,                 0.9876,                 0.9944,                0.90392,                0.46113,                0.32412,                0.94992,             0.00037138,             0.00037138,             0.00037138
                     74,                0.59591,                0.55553,                 1.0307,                0.93677,                      1,                0.99381,                0.92362,                0.44603,                0.33126,                0.95015,               0.000359,               0.000359,               0.000359
                     75,                0.64566,                0.41664,                 1.0456,                 0.9675,                0.92252,                0.98506,                0.91206,                0.43348,                0.34885,                 0.9389,             0.00034663,             0.00034663,             0.00034663
                     76,                0.68617,                0.42845,                 1.1285,                0.98024,                0.92631,                 0.9944,                 0.9117,                0.43074,                0.32019,                0.93638,             0.00033425,             0.00033425,             0.00033425
                     77,                0.65128,                0.39737,                 1.0462,                 0.9817,                0.92765,                0.99337,                0.91506,                0.45558,                 0.3494,                0.96139,             0.00032188,             0.00032188,             0.00032188
                     78,                0.67491,                 0.4317,                 1.0935,                0.97523,                0.92736,                 0.9944,                0.92338,                0.45914,                0.33843,                0.97459,              0.0003095,              0.0003095,              0.0003095
                     79,                0.61988,                0.56399,                 1.0734,                0.96583,                0.93557,                 0.9944,                0.91883,                 0.4405,                0.32937,                0.96251,             0.00029713,             0.00029713,             0.00029713
                     80,                0.60392,                0.41933,                 1.0192,                0.96324,                0.94506,                0.99321,                 0.9214,                0.41979,                 0.3196,                0.93955,             0.00028475,             0.00028475,             0.00028475
                     81,                0.61412,                0.40025,                 1.0237,                0.96253,                0.94993,                0.99321,                0.91578,                0.40903,                 0.3306,                  0.929,             0.00027237,             0.00027237,             0.00027237
                     82,                0.58161,                0.39265,                0.99772,                0.95472,                0.98094,                0.99381,                0.92152,                0.41877,                0.34109,                 0.9349,                0.00026,                0.00026,                0.00026
                     83,                0.67966,                0.43457,                 1.1501,                0.97083,                0.96733,                 0.9944,                0.92901,                0.43719,                0.32066,                 0.9442,             0.00024762,             0.00024762,             0.00024762
                     84,                0.57252,                0.40065,                 1.0093,                0.98354,                0.97019,                 0.9944,                0.92373,                0.44071,                0.29877,                0.95244,             0.00023525,             0.00023525,             0.00023525
                     85,                 0.6242,                0.45278,                 1.0348,                0.97907,                 0.9947,                  0.995,                0.92094,                0.44293,                 0.2845,                0.95476,             0.00022288,             0.00022288,             0.00022288
                     86,                0.59055,                0.41497,                 1.0418,                0.97985,                0.98874,                  0.995,                0.93482,                0.45491,                0.29308,                0.95396,              0.0002105,              0.0002105,              0.0002105
                     87,                0.63137,                0.40317,                  1.024,                0.97856,                0.97979,                  0.995,                0.91444,                0.46161,                0.30538,                 0.9598,             0.00019813,             0.00019813,             0.00019813
                     88,                0.57665,                 0.3772,                 1.0124,                0.97876,                0.98781,                  0.995,                0.92733,                0.45498,                0.30792,                0.95725,             0.00018575,             0.00018575,             0.00018575
                     89,                0.57806,                0.38641,                 1.0427,                0.97831,                0.98751,                  0.995,                0.92959,                0.42549,                0.29425,                0.94607,             0.00017338,             0.00017338,             0.00017338
                     90,                0.55485,                0.37336,                 1.0318,                0.98597,                0.98286,                  0.995,                0.92133,                0.44148,                0.28548,                0.94794,               0.000161,               0.000161,               0.000161
                     91,                 0.5256,                0.29639,                0.99876,                0.98092,                0.98105,                  0.995,                0.92065,                0.45352,                0.29345,                0.94849,             0.00014862,             0.00014862,             0.00014862
                     92,                0.44987,                0.27164,                0.90929,                0.96789,                0.96268,                  0.995,                0.93313,                 0.4476,                0.32385,                0.93943,             0.00013625,             0.00013625,             0.00013625
                     93,                 0.4947,                 0.2899,                0.98335,                0.93784,                0.96798,                0.99165,                0.92564,                0.43183,                0.35296,                0.93217,             0.00012387,             0.00012387,             0.00012387
                     94,                0.43824,                0.26486,                0.90942,                0.94368,                0.96619,                0.98805,                0.91487,                0.44287,                0.37996,                0.94079,              0.0001115,              0.0001115,              0.0001115
                     95,                0.45763,                0.27452,                0.94427,                0.94693,                0.96499,                0.99174,                0.93308,                0.42846,                0.36894,                0.94137,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.46877,                0.30309,                0.95539,                0.95102,                0.96366,                 0.9944,                 0.9319,                0.41045,                0.31723,                0.93283,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.43107,                0.26343,                0.91767,                0.97244,                0.97565,                  0.995,                0.94067,                0.39855,                 0.2887,                0.92225,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.45458,                0.29818,                0.95764,                0.98721,                0.97669,                  0.995,                0.94003,                0.39792,                0.26718,                0.91894,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.48874,                0.26616,                0.97488,                0.98837,                0.97712,                  0.995,                0.94396,                 0.3973,                0.26675,                0.91603,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.42223,                0.26314,                0.90445,                0.98682,                0.97722,                  0.995,                0.93205,                0.40289,                0.26558,                0.91988,              3.725e-05,              3.725e-05,              3.725e-05
