                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.52096,                0.47926,                0.90383,                0.92856,                0.98348,                0.98125,                0.91151,                0.43454,                0.38205,                0.87162,             0.00028475,             0.00028475,             0.00028475
                     81,                0.52909,                0.46504,                0.92938,                0.96306,                0.97826,                0.99225,                0.91999,                0.43697,                0.37309,                0.87058,             0.00027237,             0.00027237,             0.00027237
                     82,                0.52496,                0.42569,                 0.9119,                0.96693,                0.98175,                0.99225,                0.91682,                0.45427,                0.36721,                0.88862,                0.00026,                0.00026,                0.00026
                     83,                0.53807,                0.43449,                0.92136,                0.95159,                0.96565,                0.98998,                0.90298,                0.45057,                0.37733,                0.89256,             0.00024762,             0.00024762,             0.00024762
                     84,                0.57163,                0.45386,                 0.9529,                0.96145,                0.96769,                0.98723,                0.91367,                0.41039,                0.35495,                0.86503,             0.00023525,             0.00023525,             0.00023525
                     85,                0.55551,                 0.4954,                0.96531,                0.95917,                0.97491,                 0.9895,                0.92201,                 0.4144,                0.35305,                0.86125,             0.00022288,             0.00022288,             0.00022288
                     86,                0.54214,                0.43001,                0.93643,                0.95593,                0.97661,                 0.9895,                 0.9328,                0.41071,                0.34361,                0.85806,              0.0002105,              0.0002105,              0.0002105
                     87,                0.56594,                0.43885,                0.92835,                0.96251,                 0.9715,                0.98723,                0.92134,                 0.3979,                0.33308,                0.85585,             0.00019813,             0.00019813,             0.00019813
                     88,                0.57459,                0.43845,                0.93872,                0.96162,                  0.975,                0.98723,                0.91753,                0.40575,                0.33005,                 0.8598,             0.00018575,             0.00018575,             0.00018575
                     89,                0.55592,                0.42888,                0.95659,                0.95783,                0.98899,                0.99225,                0.92629,                0.40681,                0.33655,                0.86034,             0.00017338,             0.00017338,             0.00017338
                     90,                0.51836,                0.41614,                0.92874,                0.98552,                0.96932,                  0.995,                0.93414,                0.42498,                0.32613,                0.86561,               0.000161,               0.000161,               0.000161
                     91,                0.46772,                0.35398,                0.87267,                0.97025,                0.96058,                  0.995,                0.92164,                0.42473,                0.36778,                0.86524,             0.00014862,             0.00014862,             0.00014862
                     92,                0.44434,                0.34907,                0.84657,                0.96852,                 0.9427,                0.98675,                0.90725,                0.41753,                0.39965,                0.86299,             0.00013625,             0.00013625,             0.00013625
                     93,                0.45614,                0.35605,                 0.8789,                0.93625,                0.98547,                  0.984,                0.91262,                 0.3996,                0.38146,                  0.857,             0.00012387,             0.00012387,             0.00012387
                     94,                0.42111,                0.33819,                0.85963,                0.94878,                0.97534,                0.98675,                0.92164,                0.38784,                0.36386,                0.85136,              0.0001115,              0.0001115,              0.0001115
                     95,                0.43378,                0.33251,                0.87053,                 0.9488,                0.95844,                0.98675,                0.91353,                0.38814,                0.35952,                0.85021,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.41874,                0.36048,                0.87793,                 0.9474,                 0.9715,                0.99225,                0.92504,                0.38906,                0.35381,                0.85012,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.45429,                0.39288,                0.88638,                0.94265,                0.96743,                0.99225,                0.92715,                0.38774,                0.36217,                0.84876,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.42236,                0.35566,                 0.8519,                0.93082,                0.96512,                0.99225,                0.92348,                0.39461,                0.36674,                0.84793,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.39452,                0.32338,                0.83078,                0.91686,                 0.9792,                  0.995,                0.92547,                0.38806,                0.36692,                0.84724,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.39732,                0.32679,                0.83857,                0.92304,                0.96742,                0.99225,                0.92072,                0.39799,                0.37115,                0.85148,              3.725e-05,              3.725e-05,              3.725e-05
